year,month,monthly_anomaly,monthly_uncertainty
1795,11,0.06,2.424
1795,12,0.725,2.313
1796,1,1.303,2.465
1796,2,0.66,2.393
1796,3,-1.716,2.299
1796,4,-0.341,1.647
1796,5,0.266,1.513
1796,6,1.362,1.87
1796,7,0.32,1.888
1796,8,1.114,1.867
1796,9,0.125,1.592
1796,10,-0.092,1.646
1796,11,-0.228,1.593
1796,12,-1.741,2.846
1797,1,2.246,3.981
1797,2,2.658,2.707
1797,3,-0.477,2.628
1797,4,-1.058,2.441
1797,5,-0.243,2.046
1797,6,0.787,1.255
1797,7,-0.076,1.323
1797,8,0.575,0.876
1797,9,0.405,1.287
1797,10,0.114,1.743
1797,11,-0.707,1.665
1797,12,0.121,1.833
1798,1,0.305,1.894
1798,2,0.533,2.182
1798,3,2.022,2.578
1798,4,-0.434,1.37
1798,5,0.247,1.94
1798,6,0.036,0.923
1798,7,0.587,1.208
1798,8,1.041,1.328
1798,9,-0.561,1.396
1798,10,-0.409,1.788
1798,11,-0.039,2.169
1798,12,-1.46,1.706
1799,1,-0.369,1.958
1799,2,-1.168,2.271
1799,3,-1.83,1.564
1799,4,0.362,1.524
1799,5,0.013,0.933
1799,6,-0.048,1.784
1799,7,0.017,1.39
1799,8,-0.16,1.036
1799,9,0.017,1.254
1799,10,0.2,1.022
1799,11,0.011,1.914
1799,12,-0.802,2.709
1800,1,-0.13,2.154
1800,2,-0.263,2.128
1800,3,-0.456,1.732
1800,4,0.567,1.394
1800,5,-0.266,1.386
1800,6,0.035,1.477
1800,7,-0.629,1.017
1800,8,-0.142,1.005
1800,9,-0.891,1.389
1800,10,0.23,1.269
1800,11,-0.309,2.076
1800,12,-0.121,1.628
1801,1,0.587,1.921
1801,2,0.825,2.228
1801,3,1.255,1.632
1801,4,-1.064,1.112
1801,5,0.468,1.51
1801,6,-0.617,1.189
1801,7,-0.048,1.328
1801,8,-0.87,0.983
1801,9,-0.287,1.272
1801,10,0.97,2.168
1801,11,-0.528,1.26
1801,12,0.705,1.698
1802,1,1.355,1.961
1802,2,0.628,2.095
1802,3,0.378,2.341
1802,4,0.042,2.99
1802,5,-0.781,1.122
1802,6,0.144,1.262
1802,7,-0.205,1.287
1802,8,-0.352,0.882
1802,9,0.061,1.493
1802,10,0.118,1.252
1802,11,-0.899,1.351
1802,12,-0.584,1.767
1803,1,-1.582,1.809
1803,2,-1.251,2.254
1803,3,-0.078,2.854
1803,4,0.896,1.389
1803,5,0.082,1.105
1803,6,0.234,0.754
1803,7,0.291,0.788
1803,8,0.904,0.804
1803,9,0.276,0.771
1803,10,0.698,3.341
1803,11,-0.255,1.623
1803,12,-0.897,1.791
1804,1,-0.099,3.182
1804,2,-1.184,2.536
1804,3,-0.943,1.964
1804,4,1.276,2.098
1804,5,0.802,1.216
1804,6,0.186,1.327
1804,7,1.249,1.489
1804,8,0.471,1.598
1804,9,0.449,1.41
1804,10,0.06,1.31
1804,11,0.86,2.312
1804,12,-1.035,2.107
1805,1,0.408,2.159
1805,2,-0.461,1.992
1805,3,0.516,1.562
1805,4,-0.155,1.478
1805,5,-0.085,1.021
1805,6,0.585,1.517
1805,7,0.244,1.27
1805,8,1.292,1.242
1805,9,-0.002,1.756
1805,10,-1.504,1.663
1805,11,-1.659,1.922
1805,12,0.61,1.756
1806,1,0.405,2.082
1806,2,-0.213,2.299
1806,3,-0.606,1.548
1806,4,-0.382,1.711
1806,5,0.279,1.501
1806,6,-1.098,1.296
1806,7,-0.49,1.105
1806,8,0.636,1.125
1806,9,0.463,1.829
1806,10,-0.825,1.223
1806,11,-0.906,1.8
1806,12,0.421,1.861
1807,1,-1.565,2.408
1807,2,0.151,2.142
1807,3,-0.66,2.507
1807,4,-1.406,1.546
1807,5,-1.955,1.133
1807,6,-0.155,0.815
1807,7,-0.208,1.386
1807,8,-0.378,2.04
1807,9,0.592,1.225
1807,10,-0.181,1.14
1807,11,0.127,2.047
1807,12,0.88,1.155
1808,1,-1.451,3.642
1808,2,-1.064,1.84
1808,3,-1.082,1.534
1808,4,-0.948,1.18
1808,5,-1.947,2.769
1808,6,-0.245,1.897
1808,7,0.094,1.695
1808,8,-0.71,1.107
1808,9,0.811,1.865
1808,10,-1.248,2.163
1808,11,-1.485,1.806
1808,12,-2.593,2.061
1809,1,-2.238,2.19
1809,2,-2.209,3.243
1809,3,-1.907,1.392
1809,4,-0.573,1.866
1809,5,-1.751,1.127
1809,6,-0.488,1.368
1809,7,-1.649,1.088
1809,8,-0.733,1.351
1809,9,-0.941,1.146
1809,10,-0.517,3.151
1809,11,-2.732,2.309
1809,12,-1.451,2.179
1810,1,-1.487,2.132
1810,2,-0.591,2.36
1810,3,-0.416,1.945
1810,4,-1.719,1.602
1810,5,-2.05,1.774
1810,6,-1.558,1.234
1810,7,-1.549,1.598
1810,8,-1.567,1.021
1810,9,-2.251,0.947
1810,10,-2.191,1.548
1810,11,-1.865,2.525
1810,12,-0.77,1.946
1811,1,-1.315,2.021
1811,2,-2.48,1.826
1811,3,-1.358,1.954
1811,4,-1.686,1.366
1811,5,-1.199,1.547
1811,6,-1.051,1.52
1811,7,-2.136,1.655
1811,8,-0.44,0.799
1811,9,-1.586,1.427
1811,10,-2.125,3.26
1811,11,-2.237,1.461
1811,12,0.148,1.624
1812,1,-1.363,4.542
1812,2,-2.933,2.854
1812,3,-3.009,2.187
1812,4,-1.428,2.618
1812,5,-1.743,1.067
1812,6,-1.625,1.216
1812,7,-0.09,1.592
1812,8,1.323,1.086
1812,9,-1.815,2.723
1812,10,-1.462,1.169
1812,11,-1.513,2.01
1812,12,-2.054,2.29
1813,1,-3.595,2.214
1813,2,-0.98,1.714
1813,3,-3.69,1.539
1813,4,-0.069,1.466
1813,5,0.134,2.69
1813,6,-0.465,1.021
1813,7,-0.079,0.783
1813,8,-0.791,0.913
1813,9,0.282,1.869
1813,10,-0.613,1.274
1813,11,0.797,1.894
1813,12,-1.256,1.533
1814,1,-0.69,2.28
1814,2,-1.44,2.396
1814,3,-2.664,2.479
1814,4,-1.218,1.527
1814,5,-1.974,3.127
1814,6,-0.769,1.042
1814,7,-1.849,3.524
1814,8,-0.985,1.901
1814,9,-1.36,1.098
1814,10,-1.685,1.513
1814,11,0.737,2.954
1814,12,2.582,2.71
1815,1,-0.562,1.891
1815,2,-0.903,2.682
1815,3,-1.569,2.604
1815,4,-1.7,1.709
1815,5,-1.403,2.059
1815,6,-2.412,1.19
1815,7,-0.081,1.393
1815,8,-0.556,1.489
1815,9,-0.81,1.347
1815,10,-1.921,2.577
1815,11,-2.024,1.524
1815,12,-2.309,2.388
1816,1,0.195,3.119
1816,2,-2.797,2.762
1816,3,-1.306,1.31
1816,4,-0.579,1.33
1816,5,-0.711,1.866
1816,6,-1.867,1.531
1816,7,-2.178,1.791
1816,8,-1.202,0.913
1816,9,-1.564,1.029
1816,10,-3.508,3.863
1816,11,-1.833,3.037
1816,12,-2.255,2.372
1817,1,-0.736,2.008
1817,2,0.607,4.35
1817,3,-0.582,1.686
1817,4,-0.071,1.103
1817,5,-1.755,1.388
1817,6,-2.441,1.234
1817,7,-2.252,2.621
1817,8,-0.498,0.994
1817,9,-3.286,2.141
1817,10,-2.946,1.881
1817,11,-1.18,1.313
1817,12,-3.035,2.939
1818,1,-1.15,1.818
1818,2,-2.219,1.791
1818,3,0.288,2.092
1818,4,1.525,3.924
1818,5,-0.183,2.661
1818,6,0.203,2.825
1818,7,-0.842,1.413
1818,8,-0.553,0.929
1818,9,-1.43,1.31
1818,10,-2.599,1.751
1818,11,-0.842,2.521
1818,12,-0.808,1.705
1819,1,-1.194,2.142
1819,2,-0.849,1.746
1819,3,-2.253,4.131
