country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini coefficient
Chad,2016,4.029350280761719,7.520730018615723,0.6162048578262329,45.66236114501953,0.52522212266922,0.0432906337082386,0.8197888731956482,0.5824582576751709,0.46756675839424133,0.5130217671394348,-1.2756457328796387,-1.3889201879501343,0.5033317804336548
Chile,2016,6.579056262969971,10.030416488647461,0.8413881659507751,69.43727111816406,0.6522897481918335,0.08794970065355301,0.8581249713897705,0.8692288994789124,0.2830421030521393,0.20353886485099792,0.7551908493041992,1.1573410034179688,0.4801385700702667
China,2016,5.324955940246582,9.574945449829102,0.7417030334472656,69.1578140258789,,-0.24703076481819153,,0.8261443972587585,0.14562515914440155,,-1.0686254501342773,-0.09558272361755371,0.5386265516281128
Colombia,2016,6.233715057373047,9.482222557067871,0.8819003701210022,63.98321533203125,0.8349661231040955,-0.10830410569906235,0.8975538611412048,0.7935314774513245,0.29422277212142944,0.26125118136405945,-0.43232712149620056,-0.05722064897418022,0.5586574077606201
Congo (Brazzaville),2016,4.11949348449707,8.575725555419922,0.6154490113258362,54.80181884765625,0.7859065532684326,-0.1080462858080864,0.7903857231140137,0.6103049516677856,0.30366671085357666,0.48307526111602783,-0.8629368543624878,-1.1277666091918945,0.484639436006546
Congo (Kinshasa),2016,4.52193546295166,6.611898899078369,0.8641545176506042,50.428932189941406,0.6373667120933533,0.0037742480635643005,0.8749996423721313,0.6462695002555847,0.22241148352622986,0.2818249464035034,-1.7939562797546387,-1.4439677000045776,0.46459636092185974
Costa Rica,2016,7.135617733001709,9.642219543457031,0.9007012844085693,69.69956970214844,0.8729719519615173,-0.03425634279847145,0.7805620431900024,0.8735843896865845,0.28142228722572327,0.2790275812149048,0.9402379393577576,0.4821915626525879,0.5031618475914001
Croatia,2016,5.41687536239624,9.97800064086914,0.798332154750824,67.1919937133789,0.671970546245575,-0.06994529068470001,0.8840597867965698,0.613685667514801,0.3365412652492523,0.3033909797668457,0.596550703048706,0.36803266406059265,0.35781240463256836
Cyprus,2016,5.794618606567383,10.348029136657715,0.7864384651184082,72.61028289794922,0.7562209963798523,-0.03852042183279991,0.8976395130157471,0.7420493960380554,0.3363446891307831,0.3339095115661621,0.8267133235931396,0.8953462839126587,0.3981894850730896
Czech Republic,2016,6.735627174377441,10.353059768676758,0.9305928945541382,70.87710571289062,0.850328266620636,-0.20526689291000366,0.9004307389259338,0.7557019591331482,0.20104163885116577,0.4151207208633423,1.0193475484848022,0.9108529686927795,0.2905338704586029
Denmark,2016,7.5577826499938965,10.735663414001465,0.9544515013694763,71.3125,0.9482305645942688,0.12781187891960144,0.2098933756351471,0.8361157178878784,0.20758342742919922,0.46766069531440735,1.161069393157959,1.9005314111709595,0.5049887299537659
Dominican Republic,2016,5.238698482513428,9.553850173950195,0.8947534561157227,63.335289001464844,0.8727124333381653,-0.08508078008890152,0.7371829748153687,0.7599455714225769,0.2780951261520386,0.5494248270988464,0.23892277479171753,-0.3449273705482483,0.48408013582229614
Ecuador,2016,6.1154375076293945,9.251891136169434,0.8423520922660828,67.14689636230469,0.846336305141449,-0.020777568221092224,0.7740841507911682,0.8463540077209473,0.36524659395217896,0.4744277894496918,-0.17282521724700928,-0.7041675448417664,0.3875209093093872
Egypt,2016,4.556740760803223,9.241766929626465,0.8092185854911804,61.413902282714844,0.6558452248573303,-0.1510329395532608,0.8175274133682251,0.6113696694374084,0.3704982101917267,0.6191309094429016,-1.3225747346878052,-0.6549466848373413,0.36256346106529236
El Salvador,2016,6.139824867248535,8.985945701599121,0.7936599850654602,64.09453582763672,0.7998470067977905,-0.19333946704864502,0.7973120212554932,0.76125568151474,0.34573647379875183,0.25170478224754333,0.10932327061891556,-0.3645848333835602,0.45776456594467163
Estonia,2016,5.649675369262695,10.243349075317383,0.9377151131629944,67.19949340820312,0.8427706956863403,-0.15862327814102173,0.6390852928161621,0.7262548804283142,0.1768692582845688,0.3398343026638031,0.9469310641288757,1.3179376125335693,0.34359678626060486
Ethiopia,2016,4.297848701477051,7.382928848266602,0.7187187075614929,56.29738235473633,0.7443076968193054,0.04865173622965813,0.702880859375,0.7270708680152893,0.25394052267074585,0.7489455938339233,-1.50764000415802,-0.6432433724403381,0.5209882259368896
Finland,2016,7.659843444824219,10.584639549255371,0.9539404511451721,71.51737213134766,0.9483721852302551,-0.03667929023504257,0.24965956807136536,0.797325074672699,0.18199844658374786,0.4857272505760193,1.2236312627792358,1.9917020797729492,0.3948212265968323
France,2016,6.475208759307861,10.546889305114746,0.8849229216575623,72.58893585205078,0.7867804765701294,-0.1018301397562027,0.6226970553398132,0.7726613283157349,0.2700362503528595,0.2839781641960144,0.5061739683151245,1.312436580657959,0.34098514914512634
Gabon,2016,4.831764221191406,9.728300094604492,0.7800489664077759,56.71354675292969,0.6989423632621765,-0.22615079581737518,0.8165635466575623,0.6401165723800659,0.43240466713905334,0.37806975841522217,-0.516067624092102,-0.7304021716117859,0.557236909866333
Georgia,2016,4.448386192321777,9.135268211364746,0.5334122776985168,64.21965789794922,0.6064683794975281,-0.23745332658290863,0.5609240531921387,0.5638960003852844,0.223224475979805,0.34454113245010376,-0.03477485477924347,0.640127956867218,0.44099169969558716
Germany,2016,6.873763084411621,10.697844505310059,0.9060292840003967,71.0791015625,0.8705150485038757,0.13801847398281097,0.4459221363067627,0.7377459406852722,0.18725493550300598,0.5526135563850403,1.0431809425354004,1.7488049268722534,0.3545125126838684
Ghana,2016,4.514411449432373,8.289088249206543,0.6473031640052795,54.610294342041016,0.7511683702468872,0.09478861838579178,0.8939552307128906,0.6682639122009277,0.30490970611572266,0.5166046023368835,0.24018076062202454,-0.1511639952659607,0.5434268116950989
Greece,2016,5.302619457244873,10.097309112548828,0.8026058673858643,71.64778900146484,0.4816168546676636,-0.2664831578731537,0.8984708189964294,0.7005043625831604,0.3362075090408325,0.13248655200004578,0.2574119567871094,0.12582717835903168,0.3178486227989197
Guatemala,2016,6.358916282653809,8.90473461151123,0.8112354874610901,63.14004898071289,0.8626757264137268,0.008398513309657574,0.812030017375946,0.8461225032806396,0.32135719060897827,0.4689621925354004,-0.4222424030303955,-0.6469314694404602,0.4891586899757385
Guinea,2016,3.6028547286987305,7.508424758911133,0.6754470467567444,50.66684341430664,0.725685179233551,-0.04340071231126785,0.8027811646461487,0.686984658241272,0.3743937909603119,0.4656958281993866,-0.569726824760437,-1.0266242027282715,0.5201851725578308
Haiti,2016,3.3523001670837402,7.410928726196289,0.5837424397468567,53.09737777709961,0.3035404086112976,0.2943253219127655,0.8385231494903564,0.5527740716934204,0.367341011762619,0.1460646241903305,-0.7020208835601807,-1.4108740091323853,0.6137102842330933
Honduras,2016,5.6481547355651855,8.387600898742676,0.7739099860191345,63.58427429199219,0.850046694278717,0.08708684891462326,0.7928751707077026,0.8323967456817627,0.2968466877937317,0.3892745077610016,-0.39538946747779846,-0.76165771484375,0.5294775366783142
Hong Kong S.A.R. of China,2016,5.498420715332031,10.901896476745605,0.8320779204368591,76.26802825927734,0.7997434139251709,0.08216755837202072,0.40281257033348083,0.6640927791595459,0.21311458945274353,0.4496103823184967,0.555141270160675,1.8218659162521362,0.5132289528846741
Hungary,2016,5.448901653289795,10.152448654174805,0.8995115756988525,67.0195083618164,0.5539517402648926,-0.19839394092559814,0.9241858124732971,0.6659107804298401,0.24332576990127563,0.30377233028411865,0.5425901412963867,0.4119924306869507,0.3014981150627136
Iceland,2016,7.510034561157227,10.720541954040527,0.9849400520324707,72.7559814453125,0.9516095519065857,0.2721101641654968,0.7192995548248291,0.8738878965377808,0.15816916525363922,0.36351829767227173,1.3381085395812988,1.5457340478897095,0.3406390845775604
India,2016,4.179177284240723,8.714838027954102,0.6135293841362,59.25857925415039,0.8200687766075134,0.03328863903880119,0.7647221088409424,0.69450443983078,0.34568145871162415,0.7321045994758606,-0.2701978087425232,-0.14469890296459198,0.39360731840133667
Indonesia,2016,5.136325359344482,9.284013748168945,0.7918305993080139,60.43583679199219,0.8299416303634644,0.48514506220817566,0.8896774053573608,0.8328119516372681,0.3415735960006714,0.8008807301521301,-0.11717751622200012,-0.21305927634239197,0.41366928815841675
Iran,2016,4.652730941772461,9.825400352478027,0.5662811994552612,65.73584747314453,0.773303747177124,0.15040665864944458,0.712782621383667,0.6867649555206299,0.5258768200874329,0.7094711661338806,-1.065353274345398,-0.7156376838684082,0.5242117047309875
Iraq,2016,4.412537097930908,9.685761451721191,0.718956708908081,60.86371612548828,0.6661601662635803,-0.09128906577825546,0.7988664507865906,0.4886920154094696,0.5697580575942993,0.41860431432724,-1.6439290046691895,-1.3716567754745483,0.5483731627464294
Ireland,2016,7.040731430053711,11.050761222839355,0.9581440091133118,71.5750961303711,0.8745891451835632,0.16100367903709412,0.3985443115234375,0.809203028678894,0.21106331050395966,0.5747397541999817,1.0854326486587524,1.5640822649002075,0.3657854199409485
Israel,2016,7.159010887145996,10.394646644592285,0.8896607756614685,71.95502471923828,0.7722973227500916,0.14478103816509247,0.8040565848350525,0.6291893720626831,0.26309022307395935,0.438133180141449,-0.02797609567642212,1.1858693361282349,0.3060690462589264
Italy,2016,5.954524040222168,10.454935073852539,0.9272128343582153,73.78298950195312,0.623741626739502,-0.08879725635051727,0.9028012156486511,0.6854228377342224,0.3391735851764679,0.23759908974170685,0.6944417953491211,0.38602152466773987,0.3970482051372528
Ivory Coast,2016,4.542545795440674,8.138788223266602,0.6174007654190063,46.528926849365234,0.7687893509864807,-0.02751162275671959,0.7574533820152283,0.7036165595054626,0.37802940607070923,0.7148167490959167,-0.5930270552635193,-0.5609753727912903,0.5503227114677429
Japan,2016,5.95465087890625,10.551959037780762,0.8997738361358643,75.08885192871094,0.8360646367073059,-0.07977120578289032,0.6976393461227417,0.7601085901260376,0.192402645945549,0.36220064759254456,1.0047485828399658,1.5372889041900635,0.3290558457374573
Jordan,2016,5.271284580230713,9.034749031066895,0.8199447393417358,64.29154205322266,0.771350622177124,-0.03815123438835144,,0.6406578421592712,0.3119133710861206,,-0.6442906856536865,0.19261647760868073,0.36978375911712646
Kazakhstan,2016,5.5335516929626465,10.062331199645996,0.9278106689453125,63.864707946777344,0.7828055620193481,-0.05156393721699715,0.7020166516304016,0.7024791240692139,0.15541473031044006,0.7597261667251587,-0.6221027970314026,-0.34559956192970276,0.339127779006958
Kenya,2016,4.396127700805664,7.981255054473877,0.7059215903282166,58.29753875732422,0.7485082745552063,0.31466230750083923,0.8284115791320801,0.7427623271942139,0.22564765810966492,0.5776540637016296,-0.7372795343399048,-0.5105465054512024,0.5562928915023804
