Category,Movie,Name,Winner,Year
Documentary (Short Subject),Strangers No More,Karen Goodman and Kirk Simon,Won,2011
Documentary (Short Subject),Killing in the Name,Jed Rothstein,Lost,2011
Documentary (Short Subject),Poster Girl,Sara Nesson and Mitchell W. Block,Lost,2011
Documentary (Short Subject),Sun Come Up,Jennifer Redfearn and Tim Metzger,Lost,2011
Documentary (Short Subject),The Warriors of Qiugang,Ruby Yang and Thomas Lennon,Lost,2011
Film Editing,The Social Network,Angus Wall and Kirk Baxter,Won,2011
Film Editing,Black Swan,Andrew Weisblum,Lost,2011
Film Editing,The Fighter,Pamela Martin,Lost,2011
Film Editing,The King's Speech,Tariq Anwar,Lost,2011
Film Editing,127 Hours,Jon Harris,Lost,2011
Foreign Language Film,In a Better World,Denmark,Won,2011
Foreign Language Film,Biutiful,Mexico,Lost,2011
Foreign Language Film,Dogtooth,Greece,Lost,2011
Foreign Language Film,Incendies,Canada,Lost,2011
Foreign Language Film,Outside the Law (Hors-la-loi),Algeria,Lost,2011
Irving G. Thalberg Memorial Award,,Francis Ford Coppola,Won,2011
Makeup,The Wolfman,Rick Baker and Dave Elsey,Won,2011
Makeup,Barney's Version,Adrien Morot,Lost,2011
Makeup,The Way Back,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng",Lost,2011
Music (Original Score),The Social Network,Trent Reznor and Atticus Ross,Won,2011
Music (Original Score),How to Train Your Dragon,John Powell,Lost,2011
Music (Original Score),Inception,Hans Zimmer,Lost,2011
Music (Original Score),The King's Speech,Alexandre Desplat,Lost,2011
Music (Original Score),127 Hours,A.R. Rahman,Lost,2011
Music (Original Song),Toy Story 3,"We Belong Together in ""Toy Story 3"" Music and Lyric by Randy Newman",Won,2011
Music (Original Song),Country Strong,"Coming Home in ""Country Strong"" Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey",Lost,2011
Music (Original Song),Tangled,"I See The Light in ""Tangled"" Music by Alan Menken; Lyric by Glenn Slater",Lost,2011
Music (Original Song),127 Hours,"If I Rise in ""127 Hours"" Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong",Lost,2011
Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",Won,2011
Best Picture,Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",Lost,2011
Best Picture,The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",Lost,2011
Best Picture,Inception,"Emma Thomas and Christopher Nolan, Producers",Lost,2011
Best Picture,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",Lost,2011
Best Picture,127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers",Lost,2011
Best Picture,The Social Network,The Social Network,Lost,2011
Best Picture,Toy Story 3,"Darla K. Anderson, Producer",Lost,2011
Best Picture,True Grit,"Scott Rudin, Ethan Coen and Joel Coen, Producers",Lost,2011
Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers",Lost,2011
Short Film (Animated),The Lost Thing,Shaun Tan and Andrew Ruhemann,Won,2011
Short Film (Animated),Day & Night,Teddy Newton,Lost,2011
Short Film (Animated),The Gruffalo,Jakob Schuh and Max Lang,Lost,2011
Short Film (Animated),Let's Pollute,Geefwee Boedoe,Lost,2011
Short Film (Animated),"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",Bastien Dubois,Lost,2011
Short Film (Live Action),God of Love,Luke Matheny,Won,2011
Short Film (Live Action),The Confession,Tanel Toom,Lost,2011
Short Film (Live Action),The Crush,Michael Creagh,Lost,2011
Short Film (Live Action),Na Wewe,Ivan Goldschmidt,Lost,2011
Short Film (Live Action),Wish 143,Ian Barnes and Samantha Waite,Lost,2011
Sound Editing,Inception,Richard King,Won,2011
Sound Editing,Toy Story 3,Tom Myers and Michael Silvers,Lost,2011
Sound Editing,Tron: Legacy,Gwendolyn Yates Whittle and Addison Teague,Lost,2011
Sound Editing,True Grit,Skip Lievsay and Craig Berkey,Lost,2011
Sound Editing,Unstoppable,Mark P. Stoeckinger,Lost,2011
Sound Mixing,Inception,"Lora Hirschberg, Gary A. Rizzo and Ed Novick",Won,2011
Sound Mixing,The King's Speech,"Paul Hamblin, Martin Jensen and John Midgley",Lost,2011
Sound Mixing,Salt,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin",Lost,2011
Sound Mixing,The Social Network,"Ren Klyce, David Parker, Michael Semanick and Mark Weingarten",Lost,2011
Sound Mixing,True Grit,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland",Lost,2011
Visual Effects,Inception,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb",Won,2011
Visual Effects,Alice in Wonderland,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",Lost,2011
Visual Effects,Harry Potter and the Deathly Hallows Part 1,"Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi",Lost,2011
Visual Effects,Hereafter,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell",Lost,2011
Visual Effects,Iron Man 2,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick",Lost,2011
Writing (Adapted Screenplay),The Social Network,Screenplay by Aaron Sorkin,Won,2011
Writing (Adapted Screenplay),127 Hours,Screenplay by Danny Boyle & Simon Beaufoy,Lost,2011
Writing (Adapted Screenplay),Toy Story 3,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",Lost,2011
Writing (Adapted Screenplay),True Grit,Written for the screen by Joel Coen & Ethan Coen,Lost,2011
Writing (Adapted Screenplay),Winter's Bone,Adapted for the screen by Debra Granik & Anne Rosellini,Lost,2011
Writing (Original Screenplay),The King's Speech,Screenplay by David Seidler,Won,2011
Writing (Original Screenplay),Another Year,Written by Mike Leigh,Lost,2011
Writing (Original Screenplay),The Fighter,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson,Lost,2011
Writing (Original Screenplay),Inception,Written by Christopher Nolan,Lost,2011
Writing (Original Screenplay),The Kids Are All Right,Written by Lisa Cholodenko & Stuart Blumberg,Lost,2011
Actor in a Leading Role,The Artist,Jean Dujardin,Won,2012
Actor in a Leading Role,Demián Bichir,A Better Life,Lost,2012
Actor in a Leading Role,The Descendants,George Clooney,Lost,2012
Actor in a Leading Role,Tinker Tailor Soldier Spy,Gary Oldman,Lost,2012
Actor in a Leading Role,Moneyball,Brad Pitt,Lost,2012
Actor in a Supporting Role,Beginners,Christopher Plummer,Won,2012
Actor in a Supporting Role,My Week with Marilyn,Kenneth Branagh,Lost,2012
Actor in a Supporting Role,Moneyball,Jonah Hill,Lost,2012
Actor in a Supporting Role,Warrior,Nick Nolte,Lost,2012
Actor in a Supporting Role,Extremely Loud & Incredibly Close,Max von Sydow,Lost,2012
Actress in a Leading Role,The Iron Lady,Meryl Streep,Won,2012
Actress in a Leading Role,Albert Nobbs,Glenn Close,Lost,2012
Actress in a Leading Role,The Help,Viola Davis,Lost,2012
Actress in a Leading Role,The Girl with the Dragon Tattoo,Rooney Mara,Lost,2012
Actress in a Leading Role,My Week with Marilyn,Michelle Williams,Lost,2012
Actress in a Supporting Role,The Help,Octavia Spencer,Won,2012
Actress in a Supporting Role,The Artist,Bérénice Bejo,Lost,2012
Actress in a Supporting Role,The Help,Jessica Chastain,Lost,2012
Actress in a Supporting Role,Bridesmaids,Melissa McCarthy,Lost,2012
Actress in a Supporting Role,Albert Nobbs,Janet McTeer,Lost,2012
Animated Feature Film,Rango,Gore Verbinski,Won,2012
Animated Feature Film,A Cat in Paris,Alain Gagnol and Jean-Loup Felicioli,Lost,2012
Animated Feature Film,Chico & Rita,Fernando Trueba and Javier Mariscal,Lost,2012
